RSSI_5meters;RSSI_10meters;RSSI_15meters;RSSI_20meters;RSSI_25meters;RSSI_30meters;RSSI_35meters;RSSI_40meters
-53;-68;-67;-60;-59;-68;-66;-72
-53;-68;-67;-60;-59;-68;-65;-69
-53;-68;-67;-60;-59;-68;-65;-72
-53;-69;-66;-60;-59;-68;-65;-72
-53;-68;-66;-60;-59;-68;-66;-69
-53;-69;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-65;-65;-72
-53;-68;-67;-60;-59;-67;-65;-69
-53;-68;-67;-60;-59;-68;-65;-72
-53;-68;-67;-60;-59;-67;-65;-72
-52;-69;-67;-60;-59;-65;-65;-72
-53;-68;-67;-60;-59;-65;-65;-71
-52;-68;-68;-60;-59;-67;-65;-71
-53;-68;-71;-60;-59;-68;-65;-71
-53;-68;-68;-60;-59;-67;-65;-69
-52;-68;-68;-60;-59;-68;-65;-68
-49;-68;-68;-60;-59;-68;-65;-71
-49;-69;-68;-60;-59;-65;-65;-68
-53;-69;-68;-59;-59;-68;-65;-71
-49;-68;-69;-60;-59;-68;-72;-71
-49;-69;-67;-60;-59;-67;-65;-71
-52;-69;-68;-60;-59;-68;-65;-70
-53;-68;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-68;-66;-71
-51;-68;-68;-60;-58;-68;-65;-72
-48;-68;-67;-60;-59;-68;-65;-71
-51;-68;-67;-60;-59;-68;-65;-72
-52;-68;-67;-60;-59;-68;-65;-72
-54;-69;-64;-60;-59;-68;-65;-71
-49;-69;-65;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-68;-65;-72
-50;-68;-67;-60;-59;-68;-65;-71
-52;-67;-67;-60;-59;-68;-65;-71
-49;-65;-67;-60;-59;-65;-65;-72
-52;-68;-67;-60;-59;-68;-65;-69
-51;-68;-67;-60;-59;-67;-65;-71
-52;-66;-67;-60;-59;-68;-66;-72
-53;-71;-67;-60;-59;-68;-65;-71
-53;-65;-68;-60;-59;-68;-65;-68
-54;-68;-67;-60;-59;-68;-65;-69
-52;-65;-68;-60;-59;-65;-65;-72
-53;-73;-68;-60;-59;-68;-65;-72
-52;-68;-68;-60;-59;-68;-65;-72
-53;-69;-67;-60;-59;-68;-65;-71
-53;-69;-67;-60;-59;-68;-65;-72
-52;-68;-67;-60;-58;-65;-65;-72
-53;-68;-64;-60;-58;-68;-65;-71
-52;-69;-67;-60;-59;-68;-65;-72
-52;-70;-67;-60;-59;-65;-65;-71
-52;-71;-67;-60;-59;-65;-65;-72
-53;-71;-67;-60;-59;-68;-65;-72
-52;-71;-67;-60;-59;-68;-65;-72
-54;-66;-67;-60;-59;-68;-65;-72
-53;-64;-67;-60;-56;-68;-65;-72
-54;-68;-68;-60;-59;-68;-65;-69
-54;-65;-67;-60;-59;-68;-65;-72
-54;-67;-66;-60;-59;-68;-65;-72
-53;-66;-67;-60;-59;-68;-65;-72
-53;-68;-67;-60;-59;-68;-65;-72
-54;-69;-67;-60;-59;-68;-65;-71
-54;-68;-67;-60;-59;-67;-65;-71
-52;-67;-64;-60;-59;-68;-65;-71
-52;-66;-64;-60;-59;-68;-65;-68
-49;-68;-66;-60;-59;-65;-65;-71
-54;-69;-66;-60;-59;-68;-65;-72
-52;-68;-64;-60;-59;-67;-65;-69
-53;-68;-66;-60;-59;-65;-65;-72
-54;-67;-67;-59;-59;-68;-65;-72
-53;-69;-67;-60;-59;-68;-65;-69
-53;-68;-67;-60;-59;-68;-65;-72
-49;-68;-67;-60;-59;-65;-65;-69
-53;-68;-67;-60;-59;-68;-65;-72
-52;-68;-67;-60;-59;-65;-65;-72
-52;-68;-67;-59;-60;-67;-65;-72
-52;-68;-67;-60;-59;-65;-65;-72
-52;-68;-68;-59;-59;-68;-65;-72
-53;-68;-65;-60;-59;-68;-65;-72
-50;-68;-68;-60;-59;-68;-65;-68
-52;-69;-68;-60;-59;-67;-65;-68
-53;-68;-68;-60;-59;-67;-65;-68
-53;-68;-64;-60;-59;-68;-65;-68
-53;-68;-68;-60;-59;-68;-65;-67
-53;-68;-68;-60;-59;-68;-65;-68
-52;-68;-68;-60;-59;-68;-66;-68
-52;-68;-68;-60;-59;-68;-66;-68
-53;-68;-67;-60;-59;-68;-65;-68
-53;-69;-67;-60;-58;-68;-65;-68
-52;-69;-67;-60;-59;-68;-65;-68
-52;-69;-66;-60;-58;-65;-66;-68
-52;-69;-67;-60;-59;-65;-65;-68
-52;-68;-67;-60;-59;-68;-65;-68
-52;-68;-67;-60;-59;-65;-65;-68
-52;-68;-67;-60;-59;-65;-66;-68
-53;-68;-68;-60;-53;-68;-65;-68
-53;-68;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-68;-66;-68
-52;-68;-67;-60;-59;-68;-65;-68
-53;-68;-67;-60;-59;-67;-65;-68
-53;-69;-67;-59;-59;-68;-66;-71
-53;-69;-67;-59;-59;-68;-65;-68
-53;-69;-67;-59;-59;-68;-65;-71
-52;-68;-64;-59;-59;-67;-65;-72
-52;-68;-67;-59;-59;-65;-65;-71
-53;-68;-67;-59;-59;-68;-65;-72
-53;-69;-66;-59;-59;-68;-65;-72
-53;-68;-68;-59;-59;-68;-65;-72
-53;-69;-67;-59;-59;-68;-65;-71
-53;-65;-67;-59;-59;-68;-65;-72
-53;-69;-66;-59;-69;-68;-65;-72
-53;-68;-67;-59;-59;-68;-65;-71
-53;-69;-64;-59;-59;-68;-65;-71
-53;-68;-66;-59;-59;-68;-65;-71
-53;-70;-67;-59;-59;-68;-65;-71
-52;-69;-67;-59;-59;-68;-65;-68
-53;-67;-67;-59;-59;-65;-65;-71
-53;-68;-67;-59;-59;-65;-65;-71
-53;-68;-67;-59;-59;-68;-65;-68
-50;-70;-67;-59;-59;-68;-65;-68
-53;-65;-67;-59;-59;-68;-65;-71
-53;-70;-66;-59;-59;-68;-65;-68
-53;-67;-67;-59;-59;-68;-65;-71
-51;-63;-67;-59;-71;-68;-65;-70
-53;-70;-67;-59;-59;-68;-65;-68
-49;-63;-67;-59;-59;-68;-65;-68
-53;-61;-67;-59;-59;-68;-65;-68
-53;-62;-67;-59;-59;-68;-65;-71
-52;-72;-67;-59;-59;-68;-66;-72
-53;-65;-67;-59;-59;-68;-65;-72
-52;-70;-67;-59;-59;-68;-65;-72
-52;-62;-67;-59;-60;-65;-65;-72
-52;-66;-67;-59;-59;-68;-65;-72
-51;-67;-66;-59;-59;-68;-65;-72
-52;-67;-66;-59;-56;-68;-65;-72
-52;-67;-66;-59;-59;-68;-65;-72
-52;-67;-66;-59;-58;-68;-66;-71
-52;-66;-66;-59;-56;-65;-65;-71
-53;-65;-66;-59;-59;-65;-65;-68
-49;-66;-66;-59;-59;-68;-65;-68
-48;-67;-66;-59;-59;-65;-65;-71
-54;-64;-64;-59;-59;-68;-65;-67
-54;-64;-66;-59;-59;-68;-69;-71
-53;-69;-66;-59;-59;-68;-65;-71
-53;-68;-66;-59;-59;-68;-65;-72
-54;-68;-66;-59;-59;-68;-65;-70
-54;-67;-67;-59;-59;-68;-65;-71
-52;-66;-67;-59;-56;-68;-65;-68
-53;-67;-66;-59;-59;-67;-65;-71
-52;-71;-67;-59;-56;-68;-65;-68
-52;-67;-66;-59;-59;-67;-65;-68
-53;-69;-67;-59;-59;-68;-65;-67
-54;-68;-66;-59;-59;-68;-65;-71
-53;-67;-66;-59;-59;-65;-65;-68
-53;-68;-66;-59;-59;-68;-65;-68
-53;-70;-66;-59;-59;-68;-65;-68
-52;-74;-64;-59;-59;-65;-65;-68
-53;-71;-67;-59;-59;-68;-65;-71
-53;-68;-66;-59;-59;-68;-65;-68
-52;-70;-63;-59;-59;-67;-65;-71
-53;-72;-64;-59;-59;-68;-65;-67
-53;-81;-66;-59;-58;-68;-66;-68
-52;-68;-66;-59;-59;-68;-65;-67
-53;-64;-66;-59;-59;-68;-65;-67
-53;-74;-67;-59;-58;-68;-65;-70
