timestamp;position_id;client_id;rssi;snr;mcs;tx_retries
1773180430;7;1;-50;27;7;46
1773180431;7;1;-49;28;10;47
1773180432;7;1;-48;28;10;47
1773180434;7;1;-49;28;10;47
1773180435;7;1;-49;27;10;47
1773180436;7;1;-49;27;10;47
1773180438;7;1;-49;27;10;47
1773180439;7;1;-48;28;10;47
1773180441;7;1;-49;28;10;47
1773180442;7;1;-49;28;10;47
1773180443;7;1;-50;28;10;47
1773180445;7;1;-50;27;10;47
1773180446;7;1;-48;28;10;47
1773180448;7;1;-49;28;10;47
1773180449;7;1;-49;28;10;47
1773180450;7;1;-48;27;10;47
1773180452;7;1;-49;28;10;47
1773180453;7;1;-49;28;10;47
1773180454;7;1;-50;28;10;47
1773180456;7;1;-50;28;7;48
1773180457;7;1;-49;27;7;48
1773180459;7;1;-49;28;7;48
1773180460;7;1;-49;28;7;48
1773180461;7;1;-49;28;10;49
1773180463;7;1;-49;27;10;49
1773180464;7;1;-49;28;10;49
1773180465;7;1;-49;28;10;49
1773180467;7;1;-49;27;10;49
1773180468;7;1;-49;27;10;49
1773180470;7;1;-49;28;10;49
1773180471;7;1;-49;29;10;49
1773180472;7;1;-48;28;10;49
1773180474;7;1;-49;28;10;49
1773180475;7;1;-49;28;10;49
1773180477;7;1;-48;28;10;49
1773180478;7;1;-49;28;10;49
1773180479;7;1;-48;28;10;49
1773180481;7;1;-48;27;10;49
1773180482;7;1;-48;28;10;49
1773180483;7;1;-49;28;10;49
1773180485;7;1;-49;28;10;49
1773180486;7;1;-50;28;7;53
1773180488;7;1;-49;28;7;53
1773180489;7;1;-48;28;7;53
1773180490;7;1;-50;28;10;53
1773180492;7;1;-49;28;10;53
1773180493;7;1;-49;28;10;53
1773180495;7;1;-49;28;10;53
1773180496;7;1;-49;27;10;53
1773180497;7;1;-49;28;10;53
1773180499;7;1;-48;28;10;53
1773180500;7;1;-49;28;10;53
1773180501;7;1;-50;27;10;53
1773180503;7;1;-49;27;10;53
1773180504;7;1;-48;28;10;53
1773180506;7;1;-49;27;10;53
1773180507;7;1;-48;28;10;53
1773180508;7;1;-48;28;10;53
1773180510;7;1;-49;27;10;53
1773180511;7;1;-50;27;10;53
1773180513;7;1;-49;28;10;53
1773180514;7;1;-49;28;10;53
1773180515;7;1;-50;27;10;53
1773180517;7;1;-50;28;7;57
1773180518;7;1;-48;27;7;57
1773180519;7;1;-49;27;7;57
1773180521;7;1;-49;27;10;57
1773180522;7;1;-49;28;10;57
1773180524;7;1;-49;28;10;57
1773180525;7;1;-50;28;10;57
1773180526;7;1;-49;28;10;57
1773180528;7;1;-49;28;10;57
1773180529;7;1;-48;28;10;57
1773180530;7;1;-48;27;10;57
1773180532;7;1;-49;28;10;57
1773180533;7;1;-48;27;10;57
1773180535;7;1;-49;27;10;57
1773180536;7;1;-48;28;10;57
1773180537;7;1;-50;28;10;57
1773180539;7;1;-49;28;10;57
1773180540;7;1;-50;28;10;57
1773180542;7;1;-50;27;10;57
1773180543;7;1;-49;28;10;57
1650304372;7;2;-53;28;7;0
1650304374;7;2;-53;27;7;0
1650304375;7;2;-53;28;7;0
1650304376;7;2;-53;27;7;0
1650304378;7;2;-53;28;7;0
1650304379;7;2;-52;27;7;0
1650304381;7;2;-52;27;7;0
1650304382;7;2;-52;27;7;0
1650304383;7;2;-52;27;7;0
1650304385;7;2;-52;27;7;0
1650304386;7;2;-52;27;7;0
