RSSI 5 metri;RTT 5 metri;;RSSI 10 metri;RTT 10 metri;;RSSI 15 metri;RTT 15 metri;;RSSI 20 metri;RTT 20 metri;;RSSI 25 metri;RTT  25 metri;;RSSI 30 metri ;RTT 30 metri;;RSSI  35 metri;RTT 35 metri;;RSSI 40 metri;RTT 40 metri
-54;5,11;;-68;11,7;;-68;4,18;;-59;4,87;;-59;4,8;;-68;4,55;;-64;7,61;;-66;4,87
-53;4,88;;-68;10,6;;-68;6,31;;-59;4,78;;-59;6,48;;-65;4,44;;-65;5,39;;-66;5,38
-53;3,93;;-68;9,49;;-68;4,44;;-59;3,97;;-59;7,66;;-68;4,7;;-62;5,67;;-66;6,3
-53;6,95;;-68;6,87;;-68;6,63;;-59;4,2;;-59;4,59;;-68;4,65;;-64;5,47;;-66;4,02
-53;5,09;;-68;6,51;;-65;6,47;;-59;4,1;;-59;4,47;;-68;4,62;;-64;4,97;;-66;4,45
-54;5,83;;-68;6,51;;-68;4,34;;-59;3,97;;-59;4,6;;-68;4,65;;-64;5,64;;-66;4,53
-53;5,55;;-68;6,59;;-68;5,26;;-59;4,74;;-59;4,84;;-68;4,73;;-64;5,73;;-66;4,92
-54;5,3;;-68;6;;-66;7,14;;-59;4,05;;-59;4,57;;-65;4,61;;-63;5,86;;-66;7,9
-53;3,96;;-68;12,4;;-69;4,84;;-59;4,98;;-59;4,75;;-67;4,39;;-65;7,53;;-66;7
-53;7,74;;-68;9,91;;-66;4,45;;-59;4,57;;-59;4,62;;-68;4,82;;-64;5,76;;-66;3,98
-54;5,26;;-68;16,9;;-68;4,27;;-59;4,48;;-59;3,89;;-68;4,24;;-64;6,35;;-66;3,98
-54;4,64;;-68;11,9;;-66;7,27;;-59;4,83;;-59;4,58;;-67;4,75;;-64;5,71;;-66;4,84
-54;7,43;;-68;10,2;;-68;4,61;;-59;4,64;;-59;4,83;;-67;4,4;;-64;5,64;;-66;4,82
-54;5,82;;-68;6,69;;-68;4,19;;-59;4,88;;-59;4,52;;-68;4,25;;-65;7,74;;-66;4,29
-54;5,74;;-68;6,44;;-68;4,8;;-59;4,06;;-59;3,95;;-68;4,37;;-65;5,79;;-66;4,06
